name,color,abbr
Deep Security Software,3498DB,DS
Deep Security as a Service,5DADE2,Deep Security as a Service
Enterprise Security Endpoint - Standard,1ABC9C,ESE -Std.
Enterprise Security Endpoint - Advanced,48C9B0,ESE -Adv.
Enterprise Security and Data Protection,76448A,Enterprise Security and Data Protection
Enterprise Security Suite,884EA0,ESS
Enterprise Security for Endpoints and Mail Servers,9B59B6,ESEM
Smart Protection Suite - Complete,AF7AC5,SPS-C
Smart Protection Suite - Endpoint,C39BD3,SPS-E
Worry-Free Business Security Service,A93226,WFBSS
Worry-Free Business Security Standard,C0392B,WFBS - Std.
Worry-Free Business Security Advanced,CD6155,WFBS - Adv.
Client/Server/Messaging - Legacy,D35400,Client/Server/Messaging - Legacy
NeatSuite Legacy,E59866,NeatSuite Legacy
Enterprise Security for Gateway,F39C12,Enterprise Security for Gateway